feature,importance
MonthlyIncome,0.08215704270158189
Age,0.06803561467435691
TotalWorkingYears,0.055130146704617466
YearsAtCompany,0.053135187247057035
OverTime_Yes,0.051958187326968094
DailyRate,0.04945879871356897
YearsWithCurrManager,0.045426700576786674
MonthlyRate,0.04290513852513831
HourlyRate,0.04208943486999909
DistanceFromHome,0.04161359302364276
NumCompaniesWorked,0.036954232013062506
StockOptionLevel,0.03534994927829793
YearsInCurrentRole,0.03250129872864022
PercentSalaryHike,0.02815020764530609
EnvironmentSatisfaction,0.02787481831025634
JobLevel,0.026289808187447042
JobSatisfaction,0.024972291177296806
WorkLifeBalance,0.02222466061242235
YearsSinceLastPromotion,0.02218654086821409
RelationshipSatisfaction,0.020882785699371333
TrainingTimesLastYear,0.019759112671401607
JobInvolvement,0.019738505521118666
Education,0.016071756943312126
MaritalStatus_Single,0.015496020745585721
JobRole_Laboratory Technician,0.010589829882010812
BusinessTravel_Travel_Frequently,0.01047781209929175
Department_Sales,0.00992860967039299
JobRole_Research Scientist,0.009163385996092078
Department_Research & Development,0.00912579670321909
JobRole_Sales Executive,0.008950173802128805
MaritalStatus_Married,0.007908192979275693
Gender_Male,0.006717719530469549
EducationField_Medical,0.006297173509920359
JobRole_Sales Representative,0.005495637867695141
EducationField_Life Sciences,0.004960213263425538
BusinessTravel_Travel_Rarely,0.004666204076742733
JobRole_Manufacturing Director,0.004511850721731369
EducationField_Technical Degree,0.004311625309777625
EducationField_Marketing,0.003543004201090191
PerformanceRating,0.003527050483446781
JobRole_Research Director,0.003474671840311998
JobRole_Manager,0.002809730416536186
EducationField_Other,0.002261962421732116
JobRole_Human Resources,0.0009175224592591706
