Department,JobLevel,AvgBaseSalary,AvgCTC,AvgBonus,MarketSource
Customer Success,Analyst,470499.6550522648,550702.7642276423,2111.787456445993,Deloitte
Customer Success,Assistant Manager,1376797.746875,1602278.69375,2419.725,Internal Survey
Customer Success,Associate Partner,6311195.841269841,7317371.619047619,14614.015873015873,Deloitte
Customer Success,Director,4760207.093333334,5569101.173333333,14565.76,Aon Hewitt
Customer Success,Executive,624739.8223350254,730001.9966159052,2017.0659898477156,Mercer
Customer Success,Manager,2100637.121212121,2455271.406926407,8027.536796536797,Mercer
Customer Success,Senior Executive,945720.8514056224,1103878.4598393575,3037.259036144578,Aon Hewitt
Customer Success,Senior Manager,3154553.1971830986,3689026.3450704226,14008.704225352112,Internal Survey
Finance,Analyst,469154.2265625,558529.0029296875,12140.49609375,Deloitte
Finance,Assistant Manager,1368646.3487858719,1622396.0353200883,27468.368653421632,Mercer
Finance,Associate Partner,6128548.446428572,7307120.285714285,185074.8392857143,Deloitte
Finance,Director,4696949.956521739,5581334.271739131,139615.9347826087,Deloitte
Finance,Executive,629430.343550447,748803.4431673052,15223.85312899106,Aon Hewitt
Finance,Manager,2129469.04676259,2539451.2697841725,58079.359712230216,Deloitte
Finance,Senior Executive,946176.8596214511,1126805.667192429,24545.83123028391,Deloitte
Finance,Senior Manager,3121632.0888888887,3695656.6611111113,66911.87222222223,Aon Hewitt
HR,Analyst,473131.61561119294,552108.5434462444,1791.1958762886597,Aon Hewitt
HR,Assistant Manager,1381898.557195572,1615742.114391144,6447.040590405904,Aon Hewitt
HR,Associate Partner,6292130.4,7379393.0,0.0,Internal Survey
HR,Director,4793656.620689655,5595140.137931035,37904.93103448276,Aon Hewitt
HR,Executive,630316.4390804598,736752.232183908,2061.519540229885,Internal Survey
HR,Manager,2116928.7325581396,2469236.069767442,7288.122093023256,Mercer
HR,Senior Executive,947680.7416020671,1105096.8165374678,2005.4573643410852,Internal Survey
HR,Senior Manager,3205800.309090909,3749332.4454545453,6178.790909090909,Aon Hewitt
IT,Analyst,474260.25804630155,560995.4302653868,8297.934500282327,Internal Survey
IT,Assistant Manager,1371731.0173564753,1619362.6769025368,24136.481975967956,Aon Hewitt
IT,Associate Partner,6296087.3,7466969.254545455,120490.20909090909,Mercer
IT,Director,4709704.827380952,5591408.553571428,103508.60714285714,Internal Survey
IT,Executive,631464.1788491446,749016.8180404354,12094.583203732504,Internal Survey
IT,Manager,2101373.0203252034,2482078.449186992,34562.632113821135,Internal Survey
IT,Senior Executive,952098.8991674376,1123102.2081406105,14430.373728029603,Internal Survey
IT,Senior Manager,3116756.937086093,3695358.867549669,59665.01986754967,Deloitte
Legal,Analyst,474814.90787716955,554317.3471295061,1152.3644859813085,Internal Survey
Legal,Assistant Manager,1380872.4943396226,1614695.0943396227,4548.207547169812,Internal Survey
Legal,Associate Partner,6165869.44680851,7155124.361702127,29021.55319148936,Mercer
Legal,Director,4659514.658227848,5455498.025316455,16988.20253164557,Aon Hewitt
Legal,Executive,635026.8646209387,740639.155234657,2244.0216606498193,Mercer
Legal,Manager,2102683.4583333335,2449377.5833333335,4696.402777777777,Deloitte
Legal,Senior Executive,936536.4066666666,1096039.2333333334,4034.251111111111,Aon Hewitt
Legal,Senior Manager,3171826.9906542054,3701522.355140187,14248.719626168224,Mercer
Marketing,Analyst,472891.6425120773,564265.7101449275,13639.778985507246,Deloitte
Marketing,Assistant Manager,1373772.1603773586,1642658.0188679246,37452.377358490565,Deloitte
Marketing,Associate Partner,6360758.979591837,7543973.857142857,112361.59183673469,Aon Hewitt
Marketing,Director,4630729.416666667,5531933.845238095,155113.42857142858,Internal Survey
Marketing,Executive,632731.1874015748,751620.316535433,13378.691338582677,Internal Survey
Marketing,Manager,2091130.9506726458,2499229.116591928,55123.63677130045,Internal Survey
Marketing,Senior Executive,952193.8203592814,1132575.644710579,23178.574850299403,Deloitte
Marketing,Senior Manager,3136738.5454545454,3735130.713286713,83053.35664335664,Aon Hewitt
Operations,Analyst,471929.7865384615,551470.0891025641,1503.0198717948717,Aon Hewitt
Operations,Assistant Manager,1365544.2319277108,1594672.53313253,3682.1746987951806,Internal Survey
Operations,Associate Partner,6241364.02631579,7300008.929824562,10197.070175438597,Internal Survey
Operations,Director,4732545.19375,5528615.71875,24741.975,Internal Survey
Operations,Executive,630083.2017699115,735366.3796460177,1775.1256637168142,Internal Survey
Operations,Manager,2123145.5910165487,2480282.9196217493,6662.293144208038,Aon Hewitt
Operations,Senior Executive,954598.0317145688,1115046.5698711595,3551.9871159563922,Mercer
Operations,Senior Manager,3116104.7461538464,3651304.630769231,10198.888461538461,Deloitte
R&D,Analyst,477265.6269925611,564564.3304994686,8556.812964930925,Aon Hewitt
R&D,Assistant Manager,1353457.7094972066,1606351.5446927375,27301.4469273743,Mercer
R&D,Associate Partner,6387518.303571428,7567332.732142857,108963.42857142857,Deloitte
R&D,Director,4610704.05882353,5455174.588235294,87618.78823529412,Deloitte
R&D,Executive,628052.6351550961,741950.8685376662,10787.016248153619,Mercer
R&D,Manager,2091567.7357723578,2473814.7601626017,36488.654471544716,Mercer
R&D,Senior Executive,941438.395390071,1115491.6471631206,17755.84219858156,Aon Hewitt
R&D,Senior Manager,3132648.9615384615,3732859.0576923075,71283.90384615384,Deloitte
Sales,Analyst,472459.0115495669,673316.0062560154,123657.1708373436,Internal Survey
Sales,Assistant Manager,1368069.938331318,1937977.0374848852,346484.41354292625,Deloitte
Sales,Associate Partner,6281037.047945205,8782040.965753425,1476625.0205479453,Deloitte
Sales,Director,4721582.059701492,6735698.114427861,1234963.1243781094,Aon Hewitt
Sales,Executive,627939.6822250639,893245.4987212276,161068.34782608695,Deloitte
Sales,Manager,2090376.446017699,2965147.3982300884,525515.3752212389,Aon Hewitt
Sales,Senior Executive,945199.7008196721,1350426.8106557378,249378.71885245902,Internal Survey
Sales,Senior Manager,3174904.4578651683,4534810.870786517,836107.4494382022,Aon Hewitt
