EmployeeID,Department,JobLevel,Gender,TenureYears,CTC,AttritionFlag
E4000,IT,Senior Manager,Female,3.6,1037390.8826556148,0
E4001,IT,Associate,Male,0.4,640642.0983980558,1
E4002,IT,Manager,Female,5.1,651856.5865246126,0
E4003,Finance,Senior Manager,Female,4.1,756512.7293064892,0
E4004,Operations,Senior Manager,Male,4.4,954653.7776553775,0
E4005,Operations,Analyst,Female,0.3,774710.9031685757,1
E4006,Operations,Manager,Male,2.0,718462.1344478428,1
E4007,Finance,Associate,Male,3.9,892295.6024143073,0
E4008,IT,Analyst,Male,1.5,609251.9774771957,0
E4009,HR,Associate,Male,4.4,823965.8410894716,0
E4010,HR,Manager,Male,3.9,784945.8241375018,0
E4011,HR,Manager,Male,1.8,852921.5824569562,0
E4012,Finance,Associate,Male,1.4,281797.4274758089,1
E4013,Operations,Manager,Female,4.4,975590.2261629293,0
E4014,IT,Senior Manager,Female,1.2,808540.3942935093,0
E4015,Finance,Manager,Female,4.7,1148624.3204567549,0
E4016,Operations,Manager,Male,3.5,730799.5588156299,0
E4017,IT,Analyst,Female,3.1,806231.4628722277,1
E4018,Marketing,Associate,Female,2.2,600121.199002462,0
E4019,Marketing,Senior Manager,Male,2.5,817000.7087611932,0
E4020,Marketing,Senior Manager,Male,3.7,1203701.768770434,0
E4021,Marketing,Associate,Male,4.1,682146.9746810568,0
E4022,Marketing,Senior Manager,Male,2.9,725521.3786955015,1
E4023,Marketing,Manager,Male,5.3,828324.4204480797,0
E4024,HR,Associate,Male,3.1,1198966.1351767292,0
E4025,Finance,Manager,Female,4.1,727231.3424857224,0
E4026,Operations,Associate,Male,2.6,892266.8563795133,1
E4027,Operations,Associate,Male,3.7,504258.303252395,1
E4028,HR,Senior Manager,Female,5.3,859778.3871691508,0
E4029,IT,Manager,Female,7.2,1002007.2098571972,0
E4030,Marketing,Associate,Female,2.6,912152.454260267,1
E4031,Finance,Senior Manager,Male,3.6,1087916.0512683329,0
E4032,Finance,Senior Manager,Male,4.5,833046.5017513689,0
E4033,Finance,Manager,Female,2.2,994494.1226371743,0
E4034,Operations,Manager,Female,2.8,779452.7305137005,0
E4035,HR,Manager,Female,1.6,903539.8598390191,1
E4036,Operations,Analyst,Male,7.6,439870.0628618591,0
E4037,IT,Analyst,Female,3.5,811833.0833123144,1
E4038,Finance,Analyst,Male,3.3,667855.7694374601,0
E4039,Marketing,Manager,Male,1.4,904246.0645811474,0
E4040,Operations,Associate,Male,3.1,867859.4993519795,1
E4041,HR,Manager,Male,5.9,1228434.5463027922,0
E4042,Operations,Associate,Male,4.7,768869.447487325,0
E4043,IT,Manager,Female,3.9,787025.0560783969,0
E4044,Marketing,Senior Manager,Female,4.2,915689.7884791455,0
E4045,Operations,Analyst,Male,3.8,797639.630341194,0
E4046,HR,Manager,Female,1.5,1010981.7841693568,1
E4047,Operations,Manager,Female,6.1,822289.7209513382,1
E4048,Finance,Manager,Male,0.7,748826.7019358352,0
E4049,Finance,Senior Manager,Male,6.1,956569.7906551677,0
