EmployeeID,Gender,Department,JobRole,JobLevel,CTC,Bonus,PerformanceRating
E3000,Male,Finance,Senior Manager,Senior Manager,581593.0,56710.0,2.0
E3001,Male,Operations,Director,Director,887883.0,57392.0,1.7
E3002,Male,IT,Analyst,Analyst,721178.0,125411.0,4.6
E3003,Female,HR,Senior Manager,Senior Manager,758041.0,168790.0,1.0
E3004,Female,HR,Senior Manager,Senior Manager,1114913.0,61463.0,1.0
E3005,Male,Finance,Senior Manager,Senior Manager,656064.0,85134.0,1.8
E3006,Male,IT,Manager,Manager,1012770.0,173772.0,4.0
E3007,Male,Marketing,Senior Manager,Senior Manager,909056.0,176016.0,3.7
E3008,Female,Operations,Manager,Manager,753743.0,74392.0,3.8
E3009,Female,IT,Analyst,Analyst,666369.0,46835.0,2.8
E3010,Male,Operations,Manager,Manager,708199.0,75759.0,1.3
E3011,Female,Finance,Analyst,Analyst,525906.0,83005.0,4.0
E3012,Male,Marketing,Senior Manager,Senior Manager,651540.0,125897.0,3.9
E3013,Male,IT,Analyst,Analyst,409583.0,30464.0,2.4
E3014,Male,Finance,Manager,Manager,603799.0,52100.0,3.6
E3015,Male,IT,Analyst,Analyst,626674.0,44729.0,4.8
E3016,Male,IT,Director,Director,1012857.0,245704.0,1.4
E3017,Female,IT,Analyst,Analyst,590983.0,94584.0,4.4
E3018,Female,Marketing,Director,Director,908471.0,218288.0,3.1
E3019,Female,Operations,Senior Manager,Senior Manager,886077.0,200999.0,4.2
E3020,Male,HR,Director,Director,880452.0,151610.0,2.3
E3021,Female,IT,Analyst,Analyst,563892.0,129698.0,4.1
E3022,Male,IT,Senior Manager,Senior Manager,756851.0,155991.0,1.8
E3023,Female,IT,Director,Director,892746.0,120295.0,3.8
E3024,Male,Operations,Manager,Manager,753479.0,131687.0,2.3
E3025,Male,IT,Manager,Manager,571461.0,47776.0,5.0
E3026,Male,Marketing,Analyst,Analyst,649656.0,60644.0,3.6
E3027,Male,Marketing,Manager,Manager,914808.0,145765.0,4.2
E3028,Male,Finance,Analyst,Analyst,435624.0,73575.0,2.4
E3029,Female,Finance,Director,Director,959750.0,74177.0,3.3
E3030,Female,IT,Analyst,Analyst,796694.0,108064.0,2.2
E3031,Male,Operations,Analyst,Analyst,732486.0,181841.0,4.0
E3032,Male,HR,Manager,Manager,915408.0,95964.0,3.6
E3033,Male,IT,Senior Manager,Senior Manager,754644.0,91311.0,1.9
E3034,Male,HR,Manager,Manager,627603.0,39867.0,3.0
E3035,Female,Marketing,Director,Director,1044165.0,164981.0,2.4
E3036,Male,IT,Analyst,Analyst,700023.0,109618.0,3.3
E3037,Female,HR,Senior Manager,Senior Manager,691984.0,127254.0,1.8
E3038,Female,HR,Senior Manager,Senior Manager,890282.0,127347.0,4.7
E3039,Female,Finance,Analyst,Analyst,518294.0,125181.0,3.1
E3040,Male,IT,Director,Director,849519.0,76615.0,3.5
E3041,Male,HR,Senior Manager,Senior Manager,849753.0,119028.0,2.1
E3042,Male,IT,Manager,Manager,868331.0,158889.0,2.3
E3043,Female,Operations,Manager,Manager,551143.0,44358.0,2.5
E3044,Male,Marketing,Manager,Manager,737006.0,113640.0,4.2
E3045,Female,Finance,Manager,Manager,747041.0,150196.0,2.3
E3046,Female,IT,Analyst,Analyst,581704.0,120067.0,3.1
E3047,Male,Finance,Analyst,Analyst,493230.0,60188.0,1.9
E3048,Male,IT,Manager,Manager,780959.0,101053.0,1.2
E3049,Female,Finance,Manager,Manager,584226.0,89466.0,5.0
E3050,Female,Marketing,Director,Director,1060619.0,263491.0,3.0
E3051,Female,HR,Manager,Manager,775677.0,183152.0,2.6
E3052,Male,IT,Senior Manager,Senior Manager,828133.0,104448.0,3.1
E3053,Male,HR,Director,Director,1031951.0,114480.0,3.6
E3054,Female,Marketing,Senior Manager,Senior Manager,749311.0,63470.0,2.8
E3055,Female,Finance,Senior Manager,Senior Manager,997568.0,244526.0,2.0
E3056,Female,Operations,Director,Director,1016964.0,77803.0,4.1
E3057,Male,Finance,Analyst,Analyst,563983.0,114467.0,5.0
E3058,Female,Operations,Analyst,Analyst,442580.0,57417.0,3.0
E3059,Male,HR,Manager,Manager,600922.0,38239.0,2.6
E3060,Male,Finance,Manager,Manager,783563.0,190535.0,3.1
E3061,Female,Marketing,Director,Director,882416.0,133446.0,1.2
E3062,Female,HR,Director,Director,942709.0,167958.0,2.1
E3063,Female,HR,Director,Director,806100.0,145130.0,3.5
E3064,Female,Finance,Analyst,Analyst,778887.0,48005.0,2.8
E3065,Male,Finance,Director,Director,910688.0,67643.0,2.4
E3066,Female,Marketing,Senior Manager,Senior Manager,803704.0,151444.0,2.4
E3067,Male,Marketing,Manager,Manager,632552.0,157720.0,3.0
E3068,Male,Finance,Senior Manager,Senior Manager,982878.0,109346.0,3.4
E3069,Male,HR,Director,Director,1234642.0,166944.0,3.5
E3070,Male,Marketing,Manager,Manager,693028.0,85625.0,1.6
E3071,Male,IT,Director,Director,922002.0,181379.0,4.2
E3072,Female,Finance,Manager,Manager,409075.0,22024.0,2.4
E3073,Female,Marketing,Manager,Manager,624427.0,48344.0,3.9
E3074,Male,Marketing,Senior Manager,Senior Manager,862003.0,45190.0,1.5
E3075,Female,Operations,Manager,Manager,716287.0,114314.0,2.0
E3076,Male,Marketing,Senior Manager,Senior Manager,820976.0,57154.0,4.2
E3077,Female,Operations,Director,Director,955189.0,109785.0,1.8
