EmployeeID,Department,JobLevel,Gender,PerformanceRating,CTC
E1000,Marketing,Analyst,Male,3.6,379260.3548243223
E1001,Operations,Analyst,Male,3.8,628454.4784612037
E1002,IT,Associate,Male,3.0,364879.4564576229
E1003,IT,Associate,Female,4.6,515115.20937293634
E1004,IT,Analyst,Male,2.8,481384.0065378948
E1005,HR,Director,Female,2.8,330140.5369644615
E1006,IT,Associate,Female,3.4,113007.96330133034
E1007,Finance,Manager,Female,1.6,615656.8706138541
E1008,Operations,Analyst,Female,2.3,447137.0998892911
E1009,Marketing,Associate,Male,2.4,188154.44479970628
E1010,Finance,Senior Manager,Female,4.5,366133.5549270197
E1011,Finance,Senior Manager,Female,3.3,186287.77206798145
E1012,Marketing,Senior Manager,Male,2.7,416638.3884564799
E1013,HR,Senior Manager,Female,2.2,456354.7027518508
E1014,HR,Manager,Male,2.7,656245.9375310085
E1015,Finance,Analyst,Female,2.7,677841.7276763406
E1016,Finance,Manager,Female,3.2,541343.360656615
E1017,HR,Associate,Female,3.9,216873.45250434667
E1018,Marketing,Senior Manager,Female,3.4,106049.48141803367
E1019,Finance,Analyst,Female,2.0,429529.18538036855
E1020,Operations,Senior Manager,Female,3.9,425705.2421784956
E1021,HR,Associate,Male,3.1,354834.4456616067
E1022,Operations,Associate,Female,1.9,292023.3687407937
E1023,IT,Manager,Female,2.8,858568.3339328372
E1024,IT,Associate,Female,3.5,135543.97669558992
E1025,Finance,Manager,Male,3.5,642237.6579375525
E1026,HR,Senior Manager,Male,2.6,491751.4433261302
E1027,Operations,Associate,Female,4.1,539692.0178674298
E1028,Finance,Director,Female,2.4,353618.1436223178
E1029,Marketing,Associate,Female,3.5,546331.7690683539
E1030,Finance,Analyst,Female,2.8,372151.15350042743
E1031,Operations,Analyst,Female,2.2,220569.00638789937
E1032,IT,Senior Manager,Male,3.9,603436.0042856234
E1033,Marketing,Analyst,Male,3.1,550529.9346838037
E1034,HR,Associate,Male,3.5,303232.03680923133
E1035,Marketing,Senior Manager,Male,3.5,630705.4849698953
E1036,Operations,Senior Manager,Female,3.2,634696.5483721009
E1037,HR,Director,Male,1.0,523285.3756562836
E1038,IT,Senior Manager,Male,3.3,355148.89743011986
E1039,Operations,Associate,Female,3.3,101864.66280986606
E1040,Finance,Director,Male,3.0,453566.885726762
E1041,Marketing,Manager,Female,4.5,622259.4672589529
E1042,Finance,Senior Manager,Male,2.5,324736.44346231956
E1043,HR,Director,Male,4.0,449312.6664489527
E1044,HR,Senior Manager,Male,2.7,476990.11496700335
E1045,Finance,Director,Female,3.3,545296.7485799334
E1046,HR,Analyst,Female,2.6,350850.6780103348
E1047,Finance,Analyst,Male,2.8,180472.7577801822
E1048,Marketing,Director,Female,3.5,439158.2908269834
E1049,HR,Director,Male,3.2,364811.929993728
E1050,Operations,Senior Manager,Female,1.9,336903.20158519613
E1051,IT,Senior Manager,Male,2.9,279658.4096167572
E1052,IT,Senior Manager,Male,3.1,460607.6285221808
E1053,HR,Senior Manager,Female,4.9,426186.6719247759
E1054,IT,Analyst,Female,3.4,388833.11263507494
E1055,IT,Analyst,Female,1.5,396022.9186826174
E1056,Operations,Director,Female,3.3,769486.3168727929
E1057,Marketing,Analyst,Female,3.0,445232.1013500419
E1058,HR,Analyst,Male,3.2,224698.2943570702
E1059,IT,Director,Male,4.2,512789.9549030161
E1060,Finance,Associate,Female,3.9,263591.8817807892
E1061,IT,Senior Manager,Male,4.5,189722.34058115786
E1062,IT,Manager,Male,3.7,1028568.3438714969
E1063,IT,Analyst,Male,2.3,315055.3405595842
E1064,Finance,Associate,Male,3.3,324478.6518825701
E1065,IT,Analyst,Male,1.8,410284.4462209041
E1066,Marketing,Senior Manager,Female,2.2,471038.86459527723
E1067,HR,Director,Female,2.4,632490.1607526309
E1068,Operations,Director,Female,2.5,351690.7725691487
E1069,Operations,Manager,Male,3.9,515370.35253490676
E1070,Marketing,Director,Male,3.4,596071.4131423642
E1071,Operations,Manager,Male,1.8,727695.0787798456
E1072,IT,Analyst,Male,3.4,517273.4307665966
E1073,Finance,Manager,Female,2.1,501931.5080373586
E1074,Finance,Analyst,Female,3.7,444547.7009849779
E1075,HR,Associate,Female,3.4,451967.23142454633
E1076,IT,Analyst,Male,2.6,434838.0545741505
